id,dataset_name,test_accuracy,test_std,train_time,end_val_epoch
0,ACSF1,0.67,0.0622,61.6322,393.4
1,Adiac,0.8579,0.0488,31.8471,704.0
2,AllGestureWiimoteX,0.7490000000000001,0.0282,77.7672,493.8
3,AllGestureWiimoteY,0.8440000000000001,0.0502,70.6406,416.8
4,AllGestureWiimoteZ,0.743,0.0586,82.1987,547.2
5,ArrowHead,0.8725,0.0744,22.2044,498.6
6,BME,0.7278,0.0124,22.8177,532.8
7,Beef,0.75,0.1318,8.2748,309.6
8,BeetleFly,0.825,0.0685,3.1291,44.6
9,BirdChicken,0.925,0.1677,2.9559,344.0
10,CBF,1.0,0.0,2.1549,49.8
11,Car,0.85,0.0373,21.9755,599.6
12,Chinatown,0.9863,0.0137,0.7148,36.8
13,ChlorineConcentration,0.9979,0.0034,66.6726,212.2
14,CinCECGTorso,0.9979,0.0031,39.8772,76.0
15,Coffee,1.0,0.0,2.6759,213.2
16,Computers,0.898,0.0536,19.9243,51.6
17,CricketX,0.8859,0.0866,8.5902,148.4
18,CricketY,0.8769,0.0835,13.0635,199.8
19,CricketZ,0.8808,0.067,10.5843,143.8
20,Crop,0.2375,0.033,504.1125,474.6
21,DiatomSizeReduction,0.9875,0.0131,6.2221,239.0
22,DistalPhalanxOutlineAgeGroup,0.8627,0.0288,3.527,143.2
23,DistalPhalanxOutlineCorrect,0.8483,0.0522,8.26,158.8
24,DistalPhalanxTW,0.7849,0.0361,9.5813,539.6
25,DodgerLoopDay,0.552,0.1482,13.2847,207.8
26,DodgerLoopGame,0.7841,0.064,9.836,34.6
27,DodgerLoopWeekend,0.9244,0.0352,9.9555,176.4
28,ECG200,0.92,0.0481,8.2754,55.2
29,ECG5000,0.9302,0.0078,94.2072,252.8
30,ECGFiveDays,1.0,0.0,2.2765,49.4
31,EOGHorizontalSignal,0.7763,0.0953,143.8194,479.4
32,EOGVerticalSignal,0.7211,0.0959,144.9875,500.0
33,Earthquakes,0.8461,0.0544,11.3471,44.0
34,ElectricDevices,0.6428,0.0271,519.0516,502.4
35,EthanolLevel,0.7043,0.1143,274.5299,448.6
36,FaceAll,0.9764,0.013,7.6056,73.2
37,FaceFour,0.9731,0.0245,5.5137,163.2
38,FacesUCR,0.9956,0.0044,7.7954,52.4
39,FiftyWords,0.8109999999999999,0.0952,47.9511,332.6
40,Fish,0.9029,0.0186,12.3105,300.4
41,FordA,0.96,0.0241,412.2439,99.4
42,FordB,0.9429,0.0227,255.3297,121.8
43,FreezerRegularTrain,0.995,0.0026,156.2876,609.6
