id,dataset_name,test_accuracy,test_std,val_accuracy,val_std,train_accuracy,train_std
0,ACSF1,0.775,0.0631,0.605,0.0622,0.545,0.0326
1,Adiac,0.6396,0.0847,0.5136,0.1267,0.42,0.1494
2,AllGestureWiimoteX,0.9602,0.0207,0.7524,0.0441,0.7311,0.0156
3,AllGestureWiimoteY,0.9887,0.0061,0.7964,0.0199,0.7592,0.0235
4,AllGestureWiimoteZ,0.9195,0.0121,0.6970000000000001,0.0369,0.6619,0.0402
5,ArrowHead,0.8781,0.0487,0.8689,0.0773,0.8296,0.0447
6,BME,1.0,0.0,1.0,0.0,0.9833,0.0152
7,Beef,0.6938,0.2374,0.7,0.2327,0.6167,0.1918
8,BeetleFly,0.875,0.2119,0.85,0.0559,0.775,0.1046
9,BirdChicken,0.625,0.0884,0.775,0.1046,0.625,0.1768
10,CBF,0.9918,0.0067,1.0,0.0,0.9959,0.0071
11,Car,0.8781,0.0777,0.8333,0.1021,0.7167,0.0903
12,Chinatown,0.925,0.0711,0.9863,0.0137,0.9589,0.0168
13,ChlorineConcentration,0.8224,0.0745,0.8707,0.0967,0.8708,0.0886
14,CinCECGTorso,0.9966,0.0045,1.0,0.0,0.9984,0.0035
15,Coffee,0.975,0.0261,0.9667,0.0745,0.9455,0.122
16,Computers,0.7242,0.069,0.64,0.0534,0.616,0.0586
17,CricketX,0.9885,0.006,0.8144,0.0222,0.7398,0.0312
18,CricketY,0.9901,0.0081,0.7881,0.0364,0.7398,0.044
19,CricketZ,0.9896,0.0135,0.7931,0.0385,0.746,0.0428
20,Crop,0.9055,0.0058,0.7884,0.0041,0.7849,0.0049
21,DiatomSizeReduction,0.9656,0.0423,0.9846,0.0188,0.9752,0.0235
22,DistalPhalanxOutlineAgeGroup,0.8352,0.0209,0.85,0.0152,0.8125,0.0616
23,DistalPhalanxOutlineCorrect,0.8188,0.0215,0.8011,0.0204,0.7497,0.0523
24,DistalPhalanxTW,0.8086,0.0135,0.8148,0.0131,0.7736,0.0353
